event_id,user_id,event_type,description,category,direction,amount_original,amount_source,amount_currency,event_date,settlement_date,cash_effective_date,cash_effective_date_source,status,linked_event_id,flexibility,minimum_allowed_amount,related_image_id,related_message_ids,home_currency,amount_home_currency
event_17,user_01,subscription,Music service subscription,music_subscription,debit,235.4,csv,ZAR,2023-12-11,2023-12-11,2023-12-11,settlement,settled,,fixed,,,[],ZAR,235.4
event_18,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,csv,ZAR,2023-12-13,2023-12-13,2023-12-13,settlement,settled,,stoppable,,,[],ZAR,306.9
event_19,user_01,expense,Apartment rent transfer,rent,debit,5148,csv,ZAR,2024-01-02,2024-01-02,2024-01-02,settlement,settled,,fixed,,,[],ZAR,5148
event_20,user_01,expense,Household utility payment,utilities,debit,1651.81,csv,ZAR,2024-01-06,2024-01-06,2024-01-06,settlement,settled,,fixed,,,[],ZAR,1651.81
event_21,user_01,expense,Professional training fee,education,debit,1821.6,csv,ZAR,2024-01-08,2024-01-08,2024-01-08,settlement,settled,,fixed,,,[],ZAR,1821.6
event_22,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,csv,ZAR,2024-01-11,2024-01-11,2024-01-11,settlement,settled,,fixed,,,[],ZAR,3487
event_23,user_01,subscription,Music service subscription,music_subscription,debit,235.4,csv,ZAR,2024-01-11,2024-01-11,2024-01-11,settlement,settled,,fixed,,,[],ZAR,235.4
event_24,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,csv,ZAR,2024-01-13,2024-01-13,2024-01-13,settlement,settled,,stoppable,,,[],ZAR,306.9
event_25,user_01,income,Prorated first salary,salary,credit,12826,csv,ZAR,2024-02-15,2024-02-15,2024-02-15,settlement,settled,,fixed,,,[],ZAR,12826
event_26,user_01,expense,Apartment rent transfer,rent,debit,5148,csv,ZAR,2024-02-02,2024-02-02,2024-02-02,settlement,settled,,fixed,,,[],ZAR,5148
event_27,user_01,expense,Household utility payment,utilities,debit,1386.17,csv,ZAR,2024-02-06,2024-02-06,2024-02-06,settlement,settled,,fixed,,,[],ZAR,1386.17
event_28,user_01,expense,Professional training fee,education,debit,1821.6,csv,ZAR,2024-02-08,2024-02-08,2024-02-08,settlement,settled,,fixed,,,[],ZAR,1821.6
event_29,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,csv,ZAR,2024-02-11,2024-02-11,2024-02-11,settlement,settled,,fixed,,,[],ZAR,3487
event_30,user_01,subscription,Music service subscription,music_subscription,debit,235.4,csv,ZAR,2024-02-11,2024-02-11,2024-02-11,settlement,settled,,fixed,,,[],ZAR,235.4
event_31,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,csv,ZAR,2024-02-13,2024-02-13,2024-02-13,settlement,settled,,stoppable,,,[],ZAR,306.9
event_32,user_01,expense,Apartment rent transfer,rent,debit,5148,csv,ZAR,2024-03-02,2024-03-02,2024-03-02,settlement,settled,,fixed,,,[],ZAR,5148
event_33,user_01,expense,Neighbourhood grocer,groceries,debit,925.62,csv,ZAR,2023-09-08,2023-09-08,2023-09-08,settlement,settled,,fixed,,,[],ZAR,925.62
event_34,user_01,expense,Neighbourhood grocer,groceries,debit,939.13,csv,ZAR,2023-09-15,2023-09-15,2023-09-15,settlement,settled,,fixed,,,[],ZAR,939.13
event_35,user_01,expense,Bulk pantry shop,groceries,debit,707.36,csv,ZAR,2023-09-22,2023-09-22,2023-09-22,settlement,settled,,fixed,,,[],ZAR,707.36
event_36,user_01,expense,Grocery delivery,groceries,debit,629.96,csv,ZAR,2023-09-29,2023-09-29,2023-09-29,settlement,settled,,fixed,,,[],ZAR,629.96
event_37,user_01,expense,Local market purchase,groceries,debit,873.17,csv,ZAR,2023-10-06,2023-10-06,2023-10-06,settlement,settled,,fixed,,,[],ZAR,873.17
event_38,user_01,expense,Bulk pantry shop,groceries,debit,915.12,csv,ZAR,2023-10-13,2023-10-13,2023-10-13,settlement,settled,,fixed,,,[],ZAR,915.12
event_39,user_01,expense,Fresh food shop,groceries,debit,644.3,csv,ZAR,2023-10-20,2023-10-20,2023-10-20,settlement,settled,,fixed,,,[],ZAR,644.3
event_40,user_01,expense,Fresh food shop,groceries,debit,663.27,csv,ZAR,2023-10-27,2023-10-27,2023-10-27,settlement,settled,,fixed,,,[],ZAR,663.27
event_41,user_01,expense,Grocery delivery,groceries,debit,1030.1,csv,ZAR,2023-11-03,2023-11-03,2023-11-03,settlement,settled,,fixed,,,[],ZAR,1030.1
event_42,user_01,expense,Neighbourhood grocer,groceries,debit,672.37,csv,ZAR,2023-11-10,2023-11-10,2023-11-10,settlement,settled,,fixed,,,[],ZAR,672.37
event_43,user_01,expense,Local market purchase,groceries,debit,803.55,csv,ZAR,2023-11-17,2023-11-17,2023-11-17,settlement,settled,,fixed,,,[],ZAR,803.55
event_44,user_01,expense,Local market purchase,groceries,debit,644.43,csv,ZAR,2023-11-24,2023-11-24,2023-11-24,settlement,settled,,fixed,,,[],ZAR,644.43
event_45,user_01,expense,Household groceries,groceries,debit,882.48,csv,ZAR,2023-12-01,2023-12-01,2023-12-01,settlement,settled,,fixed,,,[],ZAR,882.48
event_46,user_01,expense,Bulk pantry shop,groceries,debit,602.87,csv,ZAR,2023-12-08,2023-12-08,2023-12-08,settlement,settled,,fixed,,,[],ZAR,602.87
event_47,user_01,expense,Local market purchase,groceries,debit,765.64,csv,ZAR,2023-12-15,2023-12-15,2023-12-15,settlement,settled,,fixed,,,[],ZAR,765.64
event_48,user_01,expense,Fresh food shop,groceries,debit,651.12,csv,ZAR,2023-12-22,2023-12-22,2023-12-22,settlement,settled,,fixed,,,[],ZAR,651.12
event_49,user_01,expense,Fresh food shop,groceries,debit,899.04,csv,ZAR,2023-12-29,2023-12-29,2023-12-29,settlement,settled,,fixed,,,[],ZAR,899.04
event_50,user_01,expense,Neighbourhood grocer,groceries,debit,961.46,csv,ZAR,2024-01-05,2024-01-05,2024-01-05,settlement,settled,,fixed,,,[],ZAR,961.46
event_51,user_01,expense,Supermarket basket,groceries,debit,875.35,csv,ZAR,2024-01-12,2024-01-12,2024-01-12,settlement,settled,,fixed,,,[],ZAR,875.35
event_52,user_01,expense,Household groceries,groceries,debit,756.39,csv,ZAR,2024-01-19,2024-01-19,2024-01-19,settlement,settled,,fixed,,,[],ZAR,756.39
event_53,user_01,expense,Supermarket basket,groceries,debit,624.94,csv,ZAR,2024-01-26,2024-01-26,2024-01-26,settlement,settled,,fixed,,,[],ZAR,624.94
event_54,user_01,expense,Household groceries,groceries,debit,719.51,csv,ZAR,2024-02-02,2024-02-02,2024-02-02,settlement,settled,,fixed,,,[],ZAR,719.51
event_55,user_01,expense,Neighbourhood grocer,groceries,debit,755.11,csv,ZAR,2024-02-09,2024-02-09,2024-02-09,settlement,settled,,fixed,,,[],ZAR,755.11
event_56,user_01,expense,Supermarket basket,groceries,debit,881.22,csv,ZAR,2024-02-16,2024-02-16,2024-02-16,settlement,settled,,fixed,,,[],ZAR,881.22
event_57,user_01,expense,Grocery delivery,groceries,debit,626.01,csv,ZAR,2024-02-23,2024-02-23,2024-02-23,settlement,settled,,fixed,,,[],ZAR,626.01
event_58,user_01,expense,Local market purchase,groceries,debit,964.05,csv,ZAR,2024-03-01,2024-03-01,2024-03-01,settlement,settled,,fixed,,,[],ZAR,964.05
event_59,user_01,expense,Commuter pass,transport,debit,399.02,csv,ZAR,2023-09-09,2023-09-09,2023-09-09,settlement,settled,,fixed,,,[],ZAR,399.02
event_60,user_01,expense,Ride-hailing trip,transport,debit,549.8,csv,ZAR,2023-09-16,2023-09-16,2023-09-16,settlement,settled,,fixed,,,[],ZAR,549.8
event_61,user_01,expense,Metro and bus fares,transport,debit,468.47,csv,ZAR,2023-09-23,2023-09-23,2023-09-23,settlement,settled,,fixed,,,[],ZAR,468.47
event_62,user_01,expense,Ride-hailing trip,transport,debit,428.92,csv,ZAR,2023-09-30,2023-09-30,2023-09-30,settlement,settled,,fixed,,,[],ZAR,428.92
event_63,user_01,expense,Metro and bus fares,transport,debit,373.05,csv,ZAR,2023-10-07,2023-10-07,2023-10-07,settlement,settled,,fixed,,,[],ZAR,373.05
event_64,user_01,expense,Fuel refill,transport,debit,503.02,csv,ZAR,2023-10-14,2023-10-14,2023-10-14,settlement,settled,,fixed,,,[],ZAR,503.02
event_65,user_01,expense,Local taxi,transport,debit,351.49,csv,ZAR,2023-10-21,2023-10-21,2023-10-21,settlement,settled,,fixed,,,[],ZAR,351.49
event_66,user_01,expense,Metro and bus fares,transport,debit,553.74,csv,ZAR,2023-10-28,2023-10-28,2023-10-28,settlement,settled,,fixed,,,[],ZAR,553.74
event_67,user_01,expense,Rail pass,transport,debit,421.89,csv,ZAR,2023-11-04,2023-11-04,2023-11-04,settlement,settled,,fixed,,,[],ZAR,421.89
event_68,user_01,expense,Metro and bus fares,transport,debit,347.86,csv,ZAR,2023-11-11,2023-11-11,2023-11-11,settlement,settled,,fixed,,,[],ZAR,347.86
event_69,user_01,expense,Commuter pass,transport,debit,518.04,csv,ZAR,2023-11-18,2023-11-18,2023-11-18,settlement,settled,,fixed,,,[],ZAR,518.04
event_70,user_01,expense,Ride-hailing trip,transport,debit,444.56,csv,ZAR,2023-11-25,2023-11-25,2023-11-25,settlement,settled,,fixed,,,[],ZAR,444.56
event_71,user_01,expense,Parking and tolls,transport,debit,323.58,csv,ZAR,2023-12-02,2023-12-02,2023-12-02,settlement,settled,,fixed,,,[],ZAR,323.58
event_72,user_01,expense,Vehicle charging,transport,debit,478.16,csv,ZAR,2023-12-09,2023-12-09,2023-12-09,settlement,settled,,fixed,,,[],ZAR,478.16
event_73,user_01,expense,Vehicle charging,transport,debit,534.56,csv,ZAR,2023-12-16,2023-12-16,2023-12-16,settlement,settled,,fixed,,,[],ZAR,534.56
event_74,user_01,expense,Local taxi,transport,debit,411.07,csv,ZAR,2023-12-23,2023-12-23,2023-12-23,settlement,settled,,fixed,,,[],ZAR,411.07
event_75,user_01,expense,Commuter pass,transport,debit,374.6,csv,ZAR,2023-12-30,2023-12-30,2023-12-30,settlement,settled,,fixed,,,[],ZAR,374.6
event_76,user_01,expense,Ride-hailing trip,transport,debit,358.85,csv,ZAR,2024-01-06,2024-01-06,2024-01-06,settlement,settled,,fixed,,,[],ZAR,358.85
event_77,user_01,expense,Fuel refill,transport,debit,434.69,csv,ZAR,2024-01-13,2024-01-13,2024-01-13,settlement,settled,,fixed,,,[],ZAR,434.69
event_78,user_01,expense,Rail pass,transport,debit,375.73,csv,ZAR,2024-01-20,2024-01-20,2024-01-20,settlement,settled,,fixed,,,[],ZAR,375.73
event_79,user_01,expense,Commuter pass,transport,debit,560.21,csv,ZAR,2024-01-27,2024-01-27,2024-01-27,settlement,settled,,fixed,,,[],ZAR,560.21
event_80,user_01,expense,Metro and bus fares,transport,debit,406.54,csv,ZAR,2024-02-03,2024-02-03,2024-02-03,settlement,settled,,fixed,,,[],ZAR,406.54
event_81,user_01,expense,Parking and tolls,transport,debit,488.36,csv,ZAR,2024-02-10,2024-02-10,2024-02-10,settlement,settled,,fixed,,,[],ZAR,488.36
event_82,user_01,expense,Ride-hailing trip,transport,debit,424.56,csv,ZAR,2024-02-17,2024-02-17,2024-02-17,settlement,settled,,fixed,,,[],ZAR,424.56
event_83,user_01,expense,Commuter pass,transport,debit,549.05,csv,ZAR,2024-02-24,2024-02-24,2024-02-24,settlement,settled,,fixed,,,[],ZAR,549.05
event_84,user_01,expense,Local taxi,transport,debit,339.29,csv,ZAR,2024-03-02,2024-03-02,2024-03-02,settlement,settled,,fixed,,,[],ZAR,339.29
event_85,user_01,expense,Bakery and snacks,dining,debit,1213.78,csv,ZAR,2023-09-10,2023-09-10,2023-09-10,settlement,settled,,reducible,489.5,,[],ZAR,1213.78
event_86,user_01,expense,Bakery and snacks,dining,debit,1243.56,csv,ZAR,2023-09-24,2023-09-24,2023-09-24,settlement,settled,,reducible,489.5,,[],ZAR,1243.56
event_87,user_01,expense,Lunch with colleagues,dining,debit,1128.35,csv,ZAR,2023-10-08,2023-10-08,2023-10-08,settlement,settled,,reducible,489.5,,[],ZAR,1128.35
event_88,user_01,expense,Takeaway order,dining,debit,1027.06,csv,ZAR,2023-10-22,2023-10-22,2023-10-22,settlement,settled,,reducible,489.5,,[],ZAR,1027.06
event_89,user_01,expense,Quick-service meal,dining,debit,1070.17,csv,ZAR,2023-11-05,2023-11-05,2023-11-05,settlement,settled,,reducible,489.5,,[],ZAR,1070.17
event_90,user_01,expense,Weekend food delivery,dining,debit,956.7,csv,ZAR,2023-11-19,2023-11-19,2023-11-19,settlement,settled,,reducible,489.5,,[],ZAR,956.7
event_91,user_01,expense,Quick-service meal,dining,debit,1160.42,csv,ZAR,2023-12-03,2023-12-03,2023-12-03,settlement,settled,,reducible,489.5,,[],ZAR,1160.42
event_92,user_01,expense,Coffee shop,dining,debit,972.88,csv,ZAR,2023-12-17,2023-12-17,2023-12-17,settlement,settled,,reducible,489.5,,[],ZAR,972.88
event_93,user_01,expense,Neighbourhood restaurant,dining,debit,914.64,csv,ZAR,2023-12-31,2023-12-31,2023-12-31,settlement,settled,,reducible,489.5,,[],ZAR,914.64
event_94,user_01,expense,Coffee shop,dining,debit,1017.11,csv,ZAR,2024-01-14,2024-01-14,2024-01-14,settlement,settled,,reducible,489.5,,[],ZAR,1017.11
event_95,user_01,expense,Bakery and snacks,dining,debit,1222.49,csv,ZAR,2024-01-28,2024-01-28,2024-01-28,settlement,settled,,reducible,489.5,,[],ZAR,1222.49
event_96,user_01,expense,Bakery and snacks,dining,debit,1016.12,csv,ZAR,2024-02-11,2024-02-11,2024-02-11,settlement,settled,,reducible,489.5,,[],ZAR,1016.12
event_97,user_01,expense,Family dinner,dining,debit,1216.17,csv,ZAR,2024-02-25,2024-02-25,2024-02-25,settlement,settled,,reducible,489.5,,[],ZAR,1216.17
event_98,user_01,expense,Card charge later reversed,shopping,debit,583,csv,ZAR,2024-01-25,2024-01-26,2024-01-26,settlement,settled,,fixed,,,[],ZAR,583
event_99,user_01,refund,Settled card charge reversal,shopping,credit,583,csv,ZAR,2024-01-28,2024-01-29,2024-01-29,settlement,settled,event_98,fixed,,,[],ZAR,583
event_100,user_01,expense,Card authorization,shopping,debit,816.2,csv,ZAR,2024-02-14,2024-02-16,2024-02-16,settlement,cancelled,,fixed,,,[],ZAR,816.2
event_101,user_01,expense,Settled card purchase,shopping,debit,816.2,csv,ZAR,2024-02-16,2024-02-17,2024-02-17,settlement,settled,event_100,fixed,,,[],ZAR,816.2
event_102,user_01,expense,Pending fuel authorization,transport,debit,567.6,csv,ZAR,2024-03-02,2024-03-05,2024-03-05,settlement,pending,,fixed,,,[],ZAR,567.6
event_103,user_01,income,Next confirmed salary,salary,credit,23320,csv,ZAR,2024-03-15,2024-03-15,2024-03-15,settlement,scheduled,,fixed,,,[],ZAR,23320
event_104,user_02,income,Payroll credit,salary,credit,33345000,csv,IDR,2025-03-15,2025-03-15,2025-03-15,settlement,settled,,fixed,,,[],IDR,33345000
event_105,user_02,expense,Home repair reserve,housing,debit,3534000,csv,IDR,2025-03-04,2025-03-04,2025-03-04,settlement,settled,,fixed,,,[],IDR,3534000
event_106,user_02,expense,Municipal utilities,utilities,debit,2143659.02,csv,IDR,2025-03-07,2025-03-07,2025-03-07,settlement,settled,,fixed,,,[],IDR,2143659.02
event_107,user_02,expense,Household insurance,insurance,debit,1132400,csv,IDR,2025-03-08,2025-03-08,2025-03-08,settlement,settled,,fixed,,,[],IDR,1132400
event_108,user_02,expense,Course tuition,education,debit,3040000,csv,IDR,2025-03-09,2025-03-09,2025-03-09,settlement,settled,,fixed,,,[],IDR,3040000
event_109,user_02,expense,Clinic payment,healthcare,debit,1594883.08,csv,IDR,2025-03-11,2025-03-11,2025-03-11,settlement,settled,,fixed,,,[],IDR,1594883.08
event_110,user_02,expense,Cinema and events,entertainment,debit,1289187.4,csv,IDR,2025-03-15,2025-03-15,2025-03-15,settlement,settled,,reducible,670700,,[],IDR,1289187.4
event_111,user_02,subscription,Shared storage plan,cloud_storage,debit,369550,csv,IDR,2025-03-13,2025-03-13,2025-03-13,settlement,settled,,stoppable,,,[],IDR,369550
event_112,user_02,income,Payroll credit,salary,credit,33345000,csv,IDR,2025-04-15,2025-04-15,2025-04-15,settlement,settled,,fixed,,,[],IDR,33345000
event_113,user_02,expense,Home repair reserve,housing,debit,3534000,csv,IDR,2025-04-04,2025-04-04,2025-04-04,settlement,settled,,fixed,,,[],IDR,3534000
event_114,user_02,expense,Municipal utilities,utilities,debit,2081730.85,csv,IDR,2025-04-07,2025-04-07,2025-04-07,settlement,settled,,fixed,,,[],IDR,2081730.85
event_115,user_02,expense,Household insurance,insurance,debit,1132400,csv,IDR,2025-04-08,2025-04-08,2025-04-08,settlement,settled,,fixed,,,[],IDR,1132400
event_116,user_02,expense,Course tuition,education,debit,3040000,csv,IDR,2025-04-09,2025-04-09,2025-04-09,settlement,settled,,fixed,,,[],IDR,3040000
event_117,user_02,expense,Clinic payment,healthcare,debit,1467514.81,csv,IDR,2025-04-11,2025-04-11,2025-04-11,settlement,settled,,fixed,,,[],IDR,1467514.81
event_118,user_02,expense,Cinema and events,entertainment,debit,1367779.89,csv,IDR,2025-04-15,2025-04-15,2025-04-15,settlement,settled,,reducible,670700,,[],IDR,1367779.89
event_119,user_02,subscription,Shared storage plan,cloud_storage,debit,369550,csv,IDR,2025-04-13,2025-04-13,2025-04-13,settlement,settled,,stoppable,,,[],IDR,369550
event_120,user_02,income,Payroll credit,salary,credit,33345000,csv,IDR,2025-05-15,2025-05-15,2025-05-15,settlement,settled,,fixed,,,[],IDR,33345000
event_121,user_02,expense,Home repair reserve,housing,debit,3534000,csv,IDR,2025-05-04,2025-05-04,2025-05-04,settlement,settled,,fixed,,,[],IDR,3534000
event_122,user_02,expense,Municipal utilities,utilities,debit,1830311.06,csv,IDR,2025-05-07,2025-05-07,2025-05-07,settlement,settled,,fixed,,,[],IDR,1830311.06
event_123,user_02,expense,Household insurance,insurance,debit,1132400,csv,IDR,2025-05-08,2025-05-08,2025-05-08,settlement,settled,,fixed,,,[],IDR,1132400
event_124,user_02,expense,Course tuition,education,debit,3040000,csv,IDR,2025-05-09,2025-05-09,2025-05-09,settlement,settled,,fixed,,,[],IDR,3040000
event_125,user_02,expense,Clinic payment,healthcare,debit,1452405.16,csv,IDR,2025-05-11,2025-05-11,2025-05-11,settlement,settled,,fixed,,,[],IDR,1452405.16
event_126,user_02,expense,Cinema and events,entertainment,debit,1287628.28,csv,IDR,2025-05-15,2025-05-15,2025-05-15,settlement,settled,,reducible,670700,,[],IDR,1287628.28
event_127,user_02,subscription,Shared storage plan,cloud_storage,debit,369550,csv,IDR,2025-05-13,2025-05-13,2025-05-13,settlement,settled,,stoppable,,,[],IDR,369550
event_128,user_02,income,Payroll credit,salary,credit,33345000,csv,IDR,2025-06-15,2025-06-15,2025-06-15,settlement,settled,,fixed,,,[],IDR,33345000
event_129,user_02,expense,Home repair reserve,housing,debit,3534000,csv,IDR,2025-06-04,2025-06-04,2025-06-04,settlement,settled,,fixed,,,[],IDR,3534000
event_130,user_02,expense,Municipal utilities,utilities,debit,1981601.61,csv,IDR,2025-06-07,2025-06-07,2025-06-07,settlement,settled,,fixed,,,[],IDR,1981601.61
event_131,user_02,expense,Household insurance,insurance,debit,1132400,csv,IDR,2025-06-08,2025-06-08,2025-06-08,settlement,settled,,fixed,,,[],IDR,1132400
event_132,user_02,expense,Course tuition,education,debit,3040000,csv,IDR,2025-06-09,2025-06-09,2025-06-09,settlement,settled,,fixed,,,[],IDR,3040000
event_133,user_02,expense,Clinic payment,healthcare,debit,1641668.72,csv,IDR,2025-06-11,2025-06-11,2025-06-11,settlement,settled,,fixed,,,[],IDR,1641668.72
event_134,user_02,expense,Cinema and events,entertainment,debit,1193699.1,csv,IDR,2025-06-15,2025-06-15,2025-06-15,settlement,settled,,reducible,670700,,[],IDR,1193699.1
event_135,user_02,subscription,Shared storage plan,cloud_storage,debit,369550,csv,IDR,2025-06-13,2025-06-13,2025-06-13,settlement,settled,,stoppable,,,[],IDR,369550
event_136,user_02,income,Payroll credit,salary,credit,33345000,csv,IDR,2025-07-15,2025-07-15,2025-07-15,settlement,settled,,fixed,,,[],IDR,33345000
event_137,user_02,expense,Home repair reserve,housing,debit,3534000,csv,IDR,2025-07-04,2025-07-04,2025-07-04,settlement,settled,,fixed,,,[],IDR,3534000
event_138,user_02,expense,Municipal utilities,utilities,debit,2141849.94,csv,IDR,2025-07-07,2025-07-07,2025-07-07,settlement,settled,,fixed,,,[],IDR,2141849.94
event_139,user_02,expense,Household insurance,insurance,debit,1132400,csv,IDR,2025-07-08,2025-07-08,2025-07-08,settlement,settled,,fixed,,,[],IDR,1132400
event_140,user_02,expense,Course tuition,education,debit,3040000,csv,IDR,2025-07-09,2025-07-09,2025-07-09,settlement,settled,,fixed,,,[],IDR,3040000
event_141,user_02,expense,Clinic payment,healthcare,debit,1538498.1,csv,IDR,2025-07-11,2025-07-11,2025-07-11,settlement,settled,,fixed,,,[],IDR,1538498.1
event_142,user_02,expense,Cinema and events,entertainment,debit,1352563.79,csv,IDR,2025-07-15,2025-07-15,2025-07-15,settlement,settled,,reducible,670700,,[],IDR,1352563.79
event_143,user_02,subscription,Shared storage plan,cloud_storage,debit,369550,csv,IDR,2025-07-13,2025-07-13,2025-07-13,settlement,settled,,stoppable,,,[],IDR,369550
event_144,user_02,expense,Home repair reserve,housing,debit,3534000,csv,IDR,2025-08-04,2025-08-04,2025-08-04,settlement,settled,,fixed,,,[],IDR,3534000
event_145,user_02,expense,Grocery delivery,groceries,debit,2477697.53,csv,IDR,2025-02-10,2025-02-10,2025-02-10,settlement,settled,,fixed,,,[],IDR,2477697.53
event_146,user_02,expense,Bulk pantry shop,groceries,debit,1667911.86,csv,IDR,2025-02-20,2025-02-20,2025-02-20,settlement,settled,,fixed,,,[],IDR,1667911.86
event_147,user_02,expense,Weekly produce market,groceries,debit,1418745.34,csv,IDR,2025-03-02,2025-03-02,2025-03-02,settlement,settled,,fixed,,,[],IDR,1418745.34
event_148,user_02,expense,Neighbourhood grocer,groceries,debit,1455258.76,csv,IDR,2025-03-12,2025-03-12,2025-03-12,settlement,settled,,fixed,,,[],IDR,1455258.76
event_149,user_02,expense,Household groceries,groceries,debit,1920485.7,csv,IDR,2025-03-22,2025-03-22,2025-03-22,settlement,settled,,fixed,,,[],IDR,1920485.7
event_150,user_02,expense,Household groceries,groceries,debit,1630631.42,csv,IDR,2025-04-01,2025-04-01,2025-04-01,settlement,settled,,fixed,,,[],IDR,1630631.42
event_151,user_02,expense,Bulk pantry shop,groceries,debit,1664708.05,csv,IDR,2025-04-11,2025-04-11,2025-04-11,settlement,settled,,fixed,,,[],IDR,1664708.05
event_152,user_02,expense,Household groceries,groceries,debit,1478895.05,csv,IDR,2025-04-21,2025-04-21,2025-04-21,settlement,settled,,fixed,,,[],IDR,1478895.05
event_153,user_02,expense,Local market purchase,groceries,debit,2192475.45,csv,IDR,2025-05-01,2025-05-01,2025-05-01,settlement,settled,,fixed,,,[],IDR,2192475.45
event_154,user_02,expense,Supermarket basket,groceries,debit,1852958.27,csv,IDR,2025-05-11,2025-05-11,2025-05-11,settlement,settled,,fixed,,,[],IDR,1852958.27
event_155,user_02,expense,Neighbourhood grocer,groceries,debit,2030400.43,csv,IDR,2025-05-21,2025-05-21,2025-05-21,settlement,settled,,fixed,,,[],IDR,2030400.43
event_156,user_02,expense,Local market purchase,groceries,debit,1611886.08,csv,IDR,2025-05-31,2025-05-31,2025-05-31,settlement,settled,,fixed,,,[],IDR,1611886.08
event_157,user_02,expense,Neighbourhood grocer,groceries,debit,2158165.32,csv,IDR,2025-06-10,2025-06-10,2025-06-10,settlement,settled,,fixed,,,[],IDR,2158165.32
event_158,user_02,expense,Grocery delivery,groceries,debit,2222527.88,csv,IDR,2025-06-20,2025-06-20,2025-06-20,settlement,settled,,fixed,,,[],IDR,2222527.88
event_159,user_02,expense,Household groceries,groceries,debit,2079368.25,csv,IDR,2025-06-30,2025-06-30,2025-06-30,settlement,settled,,fixed,,,[],IDR,2079368.25
event_160,user_02,expense,Local market purchase,groceries,debit,2218141.61,csv,IDR,2025-07-10,2025-07-10,2025-07-10,settlement,settled,,fixed,,,[],IDR,2218141.61
event_161,user_02,expense,Fresh food shop,groceries,debit,2365919.6,csv,IDR,2025-07-20,2025-07-20,2025-07-20,settlement,settled,,fixed,,,[],IDR,2365919.6
event_162,user_02,expense,Supermarket basket,groceries,debit,1913686.86,csv,IDR,2025-07-30,2025-07-30,2025-07-30,settlement,settled,,fixed,,,[],IDR,1913686.86
event_163,user_02,expense,Fuel refill,transport,debit,1373039.34,csv,IDR,2025-02-11,2025-02-11,2025-02-11,settlement,settled,,fixed,,,[],IDR,1373039.34
