request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_58,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2025. None of the available options keeps the IDR 14,433,900 minimum protected."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,108.54,affordable_later,wait,2026-01-16:199.89,2026-01-16,none,"Wait until 16 January 2026, then pay USD 199.89 in full. Paying sooner would put the USD 400 minimum at risk."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,33386.34,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 33,386.34 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,239.85,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. The full USD 2,094 is not safe until 16 November 2024, which is after the requested deadline."
request_68,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the USD 1,500 minimum protected."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,44906.72,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 15 February 2025. The full INR 243,900 is not safe until 16 February 2025, which is after the requested deadline."
request_71,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,126.93,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. Although USD 126.93 is available today, the full amount cannot be completed safely within 90 days."
request_77,52568.02,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 14 November 2025. The full INR 60,700 is not safe until 16 January 2026, which is after the requested deadline."
request_78,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 October 2025. None of the available options keeps the INR 55,200 minimum protected."
request_79,406.86,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 406.86 is available today, the full amount cannot be completed safely within 90 days."
request_80,92310.58,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500 request. Although INR 92,310.58 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,100 minimum protected."
request_83,3929.48,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 3,929.48 is available today, the full amount cannot be completed safely within 90 days."
request_84,21816.66,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,400 request. Although INR 21,816.66 is available today, the full amount cannot be completed safely within 90 days."
request_85,431796.52,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 431,796.52 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10750.92,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-16,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,7072506.38,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 13,756,000 request. Although IDR 7,072,506.38 is available today, the full amount cannot be completed safely within 90 days."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,299.54,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. The full EUR 1,927.20 is not safe until 16 November 2024, which is after the requested deadline."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,28196.51,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 28,196.51 is available today, the full amount cannot be completed safely within 90 days."
request_96,70244.1,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-16,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,2910.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-16,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the ZAR 32,500 minimum protected."
request_101,54924.46,not_affordable,not_recommended,none,2026-01-28,none,"Do not make this payment by 14 November 2025. The full INR 143,500 is not safe until 28 January 2026, which is after the requested deadline."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,11075.18,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 53,500 request. Although INR 11,075.18 is available today, the full amount cannot be completed safely within 90 days."
request_106,369.76,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 15 February 2025. The full EUR 2,207.70 is not safe until 16 February 2025, which is after the requested deadline."
request_107,1784.23,not_affordable,not_recommended,none,2025-07-16,none,"Do not make this payment by 4 July 2025. The full EUR 2,534.40 is not safe until 16 July 2025, which is after the requested deadline."
request_108,3232.7,not_affordable,not_recommended,none,2026-09-25,none,"Do not make this payment by 26 July 2026. The full ZAR 55,308 is not safe until 25 September 2026, which is after the requested deadline."
request_109,542.68,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-16,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 October 2026. None of the available options keeps the INR 82,300 minimum protected."
request_114,59168.19,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 14 January 2026. The full INR 65,300 is not safe until 16 January 2026, which is after the requested deadline."
request_115,11979.92,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,500 request. Although INR 11,979.92 is available today, the full amount cannot be completed safely within 90 days."
request_116,4462.1,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 4,462.10 is available today, the full amount cannot be completed safely within 90 days."
request_117,850.19,not_affordable,not_recommended,none,2026-07-16,none,"Do not make this payment by 14 July 2026. The full EUR 880 is not safe until 16 July 2026, which is after the requested deadline."
request_118,304.75,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 738.10 request. Although EUR 304.75 is available today, the full amount cannot be completed safely within 90 days."
request_119,60588.6,not_affordable,not_recommended,none,2025-07-16,none,"The full INR 203,500 is safe to pay by 16 July 2025, but none of the available payment methods you consider keeps your INR 151,200 minimum balance protected throughout the period."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,553.48,not_affordable,not_recommended,none,2024-04-16,none,"Do not make this payment by 14 March 2024. The full USD 633.60 is not safe until 16 April 2024, which is after the requested deadline."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1480.83,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-16,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,73925.51,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 159,600 request. Although INR 73,925.51 is available today, the full amount cannot be completed safely within 90 days."
request_127,7803.07,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 18 October 2024. The full ZAR 23,980 is not safe until 16 November 2024, which is after the requested deadline."
request_128,8870.91,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 25,168 request. Although ZAR 8,870.91 is available today, the full amount cannot be completed safely within 90 days."
request_129,0,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,60.17,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,978.80 request. Although USD 60.17 is available today, the full amount cannot be completed safely within 90 days."
request_131,1013.53,not_affordable,not_recommended,none,2025-07-24,none,"Do not make this payment by 8 July 2025. The full USD 1,855.20 is not safe until 24 July 2025, which is after the requested deadline."
request_132,289.3,affordable_later,wait,2026-01-16:379.86,2026-01-16,none,"Wait until 16 January 2026, then pay USD 379.86 in full. Paying sooner would put the USD 1,100 minimum at risk."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"The full IDR 15,770,000 is safe to pay by 7 March 2024, but no payment method you and the merchant both accept is available for this request."
request_134,7210010.38,affordable_later,wait,2025-09-16:21831000,2025-09-16,none,"Wait until 16 September 2025, then pay IDR 21,831,000 in full. Paying sooner would put the IDR 15,902,500 minimum at risk."
request_135,245.76,not_affordable,not_recommended,none,2026-07-16,none,"Do not make this payment by 14 July 2026. The full USD 304.80 is not safe until 16 July 2026, which is after the requested deadline."
request_136,440.15,not_affordable,not_recommended,none,2024-06-16,none,"Do not make this payment by 14 June 2024. The full USD 560.40 is not safe until 16 June 2024, which is after the requested deadline."
request_137,20288.3,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. The full INR 80,100 is not safe until 16 January 2026, which is after the requested deadline."
request_138,460.14,affordable_with_plan,partial_payment,2026-04-07:460.14|2026-05-16:796.8,2026-05-16,none,"Pay EUR 460.14 today and the remaining EUR 796.80 on 16 May 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1065.08,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,316 request. Although USD 1,065.08 is available today, the full amount cannot be completed safely within 90 days."
request_140,119.57,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 119.57 is available today, the full amount cannot be completed safely within 90 days."
request_141,18517.99,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 18,517.99 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 July 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_144,0,not_affordable,not_recommended,none,,none,Do not make this payment by 26 July 2026. None of the available options keeps the USD 600 minimum protected.
request_145,13138.61,not_affordable,not_recommended,none,2024-05-21,none,"The full INR 217,400 is safe to pay by 21 May 2024, but none of the available payment methods you consider keeps your INR 155,400 minimum balance protected throughout the period."
request_146,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,287.21,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,129.70 request. Although EUR 287.21 is available today, the full amount cannot be completed safely within 90 days."
request_148,6666.6,not_affordable,not_recommended,none,2024-08-16,none,"The full ZAR 22,242 is safe to pay by 16 August 2024, but none of the available payment methods you consider keeps your ZAR 20,000 minimum balance protected throughout the period."
request_149,21676.81,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-16,reduce_to:recurring:event_13703:1:1013.76|reduce_to:recurring:event_13703:2:1013.76,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,219.25,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 496.10 request. Although EUR 219.25 is available today, the full amount cannot be completed safely within 90 days."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11898.85,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-16,none,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,262.24,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 262.24 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,4269.94,not_affordable,not_recommended,none,2026-06-16,none,"Do not make this payment by 15 June 2026. The full ZAR 43,076 is not safe until 16 June 2026, which is after the requested deadline."
request_157,6341902.09,not_affordable,not_recommended,none,2024-05-16,none,"Do not make this payment by 15 May 2024. The full IDR 23,503,000 is not safe until 16 May 2024, which is after the requested deadline."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,2039.09,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,398 request. Although ZAR 2,039.09 is available today, the full amount cannot be completed safely within 90 days."
request_160,475.59,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-16,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,1953835.16,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. The full IDR 21,204,000 is not safe until 16 January 2026, which is after the requested deadline."
request_162,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,21724025.69,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-25,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,5354.89,not_affordable,not_recommended,none,2025-07-24,none,"Do not make this payment by 31 May 2025. The full ZAR 43,802 is not safe until 24 July 2025, which is after the requested deadline."
request_168,42462.3,affordable_with_plan,partial_payment,2026-01-07:42462.3|2026-01-16:6917.7,2026-01-16,none,"Pay INR 42,462.30 today and the remaining INR 6,917.70 on 16 January 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,32330202.79,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-16,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,0,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,9070.05,affordable_with_plan,partial_payment,2024-06-05:9070.05|2024-06-16:1129.95,2024-06-16,none,"Pay ZAR 9,070.05 today and the remaining ZAR 1,129.95 on 16 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 January 2026. None of the available options keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,259.32,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 259.32 is available today, the full amount cannot be completed safely within 90 days."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,6107244.28,not_affordable,not_recommended,none,2025-07-16,none,"Do not make this payment by 15 July 2025. The full IDR 41,648,000 is not safe until 16 July 2025, which is after the requested deadline."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. None of the available options keeps the USD 2,000 minimum protected."
request_182,47312.06,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 65,714 request. Although ZAR 47,312.06 is available today, the full amount cannot be completed safely within 90 days."
request_183,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 June 2026. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,355.78,affordable_later,wait,2025-12-16:1257.3,2025-12-16,none,"Wait until 16 December 2025, then pay EUR 1,257.30 in full. Paying sooner would put the EUR 1,300 minimum at risk."
request_186,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,23247.25,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. The full INR 187,500 is not safe until 16 November 2024, which is after the requested deadline."
request_188,0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,701.59,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,557.50 request. Although EUR 701.59 is available today, the full amount cannot be completed safely within 90 days."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
request_193,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2024. None of the available options keeps the EUR 1,000 minimum protected."
